seed_bank,breeder_name,source_url,scraped_at,url_domain,extraction_version,jsonld_org_name,jsonld_org_url,jsonld_org_logo,jsonld_product_name,jsonld_description,jsonld_brand,jsonld_sku,jsonld_mpn,jsonld_gtin,jsonld_category,jsonld_image_url,meta_title,meta_description,meta_keywords,meta_robots,meta_viewport,meta_og_type,meta_og_title,meta_og_description,meta_og_url,meta_og_image,meta_og_site_name,meta_product_price_amount,meta_product_price_currency,page_title,prices_usd,min_price_usd,max_price_usd,avg_price_usd,price_count_usd,thc_content,thc_min,thc_max,yield_amount,yield_unit,effects_all,primary_effect,effect_count,effects_mental,flavors_all,primary_flavor,flavors_citrus,flavors_fruity,flavors_spicy,flavors_diesel,flavors_floral,product_images,product_image_count,strain_images,strain_image_count,logo_images,logo_image_count,total_image_count,has_media_gallery,awards,award_count,has_awards,genetics_lineage,is_hybrid,strain_name,extraction_methods_used,method_count,data_completeness_score,market_tier,total_fields_captured,meta_revisit_after,prices_gbp,min_price_gbp,max_price_gbp,avg_price_gbp,price_count_gbp,package_sizes,min_package_size,max_package_size,cbd_content,yield_min,yield_max,yield_range,flavors_sweet,original_breeder,generation,thc_range,thc_average,flavors_earthy,height_min,height_max,height_unit,height_range,effects_physical,meta_color_scheme,meta_og_locale,meta_og_updated_time,meta_fb_app_id,meta_og_image_secure_url,meta_og_image_width,meta_og_image_height,meta_og_image_alt,meta_og_image_type,meta_twitter_card,meta_twitter_title,meta_twitter_image,meta_twitter_label1,meta_twitter_data1,meta_twitter_label2,meta_twitter_data2,meta_generator,meta_ti_site_data,meta_msapplication_tileimage,spec_seed___pack_size,spec_seed___flowering_type,spec_seed___breed,spec_seed___plant_gender,discount_percentage,certifications,certification_count,parent_1,parent_2,terpenes,dominant_terpene,terpene_count,sativa_percentage,indica_percentage,dominant_type,spec_seed___seed_type,meta_twitter_description,jsonld_rating_value,jsonld_rating_count,jsonld_best_rating,jsonld_worst_rating,spec_year,spec_2021,spec_2020,effects_social,award_years,latest_award_year,earliest_award_year,spec_2015,spec_2019,spec_2016,effects_appetite,height_amount,spec_2022,spec_2014,spec_2008,spec_2002,spec_1999,spec_2018,spec_2013,spec_2023,spec_2000,cbd_min,cbd_max,cbd_range,spec_2001
Dutch Passion,Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-xtreme-haze,2026-01-12T12:55:37.308276,dutch-passion.us,2,Zaadhandel Dutch Passion BV,https://dutch-passion.us/,https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg,Auto Xtreme Haze,"Auto Xtreme Haze is a Sativa dominant autoflower variety with very potent, sticky buds and a high yield. She has a strong Haze smell and taste",,,,,,https://dutch-passion.us/media/catalog/product/cache/c13ed0cb31bcc7ae9de40ed76d07140e/a/u/auto-xtreme-dutch-passion-seed-company_1_1.jpg,Buy Auto Xtreme Haze Cannabis Seeds | Dutch Passion USA,"Auto Xtreme Haze is a Sativa dominant autoflower variety with very potent, sticky buds and a high yield. She has a strong Haze smell and taste",Auto Xtreme Haze,"INDEX,FOLLOW","width=device-width, initial-scale=1",product,Buy Auto Xtreme Haze Cannabis Seeds | Dutch Passion USA,"Auto Xtreme Haze is a Sativa dominant autoflower variety with very potent, sticky buds and a high yield. She has a strong Haze smell and taste",https://dutch-passion.us/cannabis-seeds/auto-xtreme-haze,https://dutch-passion.us/media/catalog/product/cache/dba01b1256d866689f55947f80a6aea8/a/u/auto-xtreme-dutch-passion-seed-company_1_1.jpg,Dutch Passion USA,22.48,USD,Buy Auto Xtreme Haze Cannabis Seeds | Dutch Passion USA,"6.07, 7.49, 12.14, 14.98, 44.96, 84.96, 89.9, 169.9",6.07,169.9,53.8,8,0.3,0.3,0.3,5,oz,"euphoric, uplifting, energetic",euphoric,3,"euphoric, uplifting, energetic","lemon, lime, orange, citrus, fruity, spicy, fuel, floral",lemon,"lemon, lime, orange, citrus",fruity,spicy,fuel,floral,https://dutch-passion.us/media/catalog/product/cache/3a1e3391f5809e6d22ec461969e3be30/a/u/auto-xtreme-dutch-passion-seed-company_1_1.jpg,1,"https://dutch-passion.us/media/snowdog/menu/node/a/u/autoflower-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/f/e/feminized-seeds_3.svg, https://dutch-passion.us/media/snowdog/menu/node/r/e/regular-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/i/n/indoor-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/o/u/outdoor-seeds_1.svg",50,"https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg, https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg, https://dutch-passion.us/media/wysiwyg/payment-icons/usps-logo.svg, https://dutch-passion.us/media/wysiwyg/payment-icons/usps-logo.svg, https://dutch-passion.us/media/ageverification/resized/logo-Dutch-Passion-39-years-2026.png",5,56,TRUE,cannabis cups | Cannabis cup winners | Cannabis cup winners | cup winners | cup winners,5,TRUE,+38 Years ExperienceSafe PaymentDiscreet Shipping,TRUE,Auto Xtreme Haze,"['JSON-LD', 'Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,45.9,Standard,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-xtreme/prod_2233,2026-01-12T12:55:37.542508,www.cannabis-seeds-bank.co.uk,2,,,,,,,,,,,,,Dutch Passion Seeds AutoXtreme is available to buy at the Attitude Seedbank. Visit our website to check out the whole range of cannabis seeds. We ship worldwide.,"Dutch Passion, AutoXtreme, cannabis seeds, marijuana seeds, dutch, passion, auto, automatic, autoflowering, auto-flowering, xtreme, extreme, fem, feminized, female,","index, follow","width=device-width, initial-scale=1.0",,,,,,,,,Dutch Passion Seeds - AutoXtreme | Order Securely Online Best Quality Marijuana Seeds Souvenirs UK,,,,,,,,,,g,happy,happy,1,happy,"orange, sweet",orange,orange,,,,,,,,,,,,,,,FALSE,Cannabiogen Seeds,FALSE,The World's Largest,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Awards', 'Genetics']",5,39.6,Basic,41,2 days,"8.99, 26.49, 31.99, 39.99, 47.49, 53.49",8.99,53.49,35.66,15,"3, 7",3,7,0.1,100,200,100-200 g,sweet,s Seeds,F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-white-widow-x-the-ultimate/prod_1974,2026-01-12T12:55:37.815922,www.cannabis-seeds-bank.co.uk,2,,,,,,,,,,,,,"White Widow x The Ultimate by Dutch Passion Seeds is in stock at The Attitude Seedbank - best online store with widest collection of marijuana seeds souvenirs at lowest prices. Discreet worldwide shipping. We offer discounts, promotions and extra freebies with every purchase. For more info visit our website.","White Widow x The Ultimate, Dutch Passion Seeds, White Widow, the ultimate, white, widow, the, ultimate, dutch, passion, marijuana, cannabis, reg, regular, white widow, the ultimate,","index, follow","width=device-width, initial-scale=1.0",,,,,,,,,"Dutch Passion Seeds - White Widow x The Ultimate | Promotions, Giveaways And Extra Marijuana Seeds Souvenirs With Every Order",,,,,,,17,19,,g,happy,happy,1,happy,"orange, earthy, pine, sweet",orange,orange,,,,,,,,,,,,,,,FALSE,Cannabiogen Seeds,FALSE,The World's Largest,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Awards', 'Genetics']",5,45.9,Standard,45,2 days,"26.49, 31.99, 39.99, 47.49, 57.99",26.49,57.99,38.76,13,10,10,10,,500,600,500-600 g,sweet,s Seeds,F5,17.00-19.00%,18,"earthy, pine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-white-widow/prod_2582,2026-01-12T12:55:38.031350,www.cannabis-seeds-bank.co.uk,2,,,,,,,,,,,,,Dutch Passion Auto White Widow is now available at The Attitude Seedbank. Visit our website for a wide range of autoflowering cannabis seeds from Dutch Passion,"Dutch Passion AutoWhite Widow, Auto White Widow, Dutch Passion Seeds, Cannabis Seeds, Marijuana Seeds, dutch, passion, auto, white, widow, automatic, auto-flowering, autoflowering, fem, feminized, female,","index, follow","width=device-width, initial-scale=1.0",,,,,,,,,Dutch Passion Seeds - AutoWhite Widow | Buy Medical Cannabis Seeds At Low Prices UK,,,,,,,15,20,,g,"cerebral, happy, relaxing",cerebral,3,"cerebral, happy","orange, pine, sweet",orange,orange,,,,,,,,,,,,,,,FALSE,Cannabiogen Seeds,FALSE,The World's Largest,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Awards', 'Genetics']",5,56,Standard,51,2 days,"8.99, 21.19, 26.49, 31.99, 39.99, 42.79, 47.49, 53.49",8.99,53.49,35.23,17,"3, 7",3,7,0.05,450,500,450-500 g,sweet,s Seeds,F5,15-20%,17.5,pine,60,100,cm,60-100 cm,relaxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://multiversebeans.com/product/dutch-passion-white-widow-auto-fem/,2026-01-12T12:55:38.251947,multiversebeans.com,2,,,,,,,,,,,,,,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","width=device-width, initial-scale=1.0",product,White Widow Auto | Dutch Passion | FEM Autoflower Seeds | Multiverse Beans Seed Bank,,https://multiversebeans.com/product/dutch-passion-white-widow-auto-fem/,https://multiversebeans.com/wp-content/uploads/2024/04/9f8225_9968bb65666b4785b86b22a3cd4b5fc1mv2.jpeg,Multiverse Beans Seed Bank,,,White Widow Auto | Dutch Passion | FEM Autoflower Seeds | Multiverse Beans Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,"https://multiversebeans.com/wp-content/uploads/2024/02/dutch-passion-logo-1573045412.jpg, https://multiversebeans.com/wp-content/uploads/2024/02/dutch-passion-logo-1573045412.jpg, https://multiversebeans.com/wp-content/uploads/2024/02/dutch-passion-logo-1573045412.jpg",3,3,FALSE,,,FALSE,Seed Type × treme Auto,TRUE,White Widow,"['Meta Tags', 'Tables', 'Pricing', 'Media Assets', 'Awards', 'Genetics']",6,23.3,Basic,56,,,,,,,68,68,68,,,,,,Bundles,,,,,,,,,,dark light,en_US,2026-01-01T09:54:16-08:00,9.99922E+14,https://multiversebeans.com/wp-content/uploads/2024/04/9f8225_9968bb65666b4785b86b22a3cd4b5fc1mv2.jpeg,800,800,White Widow Auto | Dutch Passion | FEM Autoflower Seeds,image/jpeg,summary_large_image,White Widow Auto | Dutch Passion | FEM Autoflower Seeds | Multiverse Beans Seed Bank,https://multiversebeans.com/wp-content/uploads/2024/04/9f8225_9968bb65666b4785b86b22a3cd4b5fc1mv2.jpeg,Price,83.32,Availability,In stock,WooCommerce 10.3.7,eyJyIjoiMTozOCE3OjE1OSEzMDo1MDIiLCJvIjoiaHR0cHM6XC9cL211bHRpdmVyc2ViZWFucy5jb21cL3dwLWFkbWluXC9hZG1pbi1hamF4LnBocD9hY3Rpb249dGlfb25saW5lX3VzZXJzX2dvb2dsZSZhbXA7cD0lMkZwcm9kdWN0JTJGZHV0Y2gtcGFzc2lvbi13aGl0ZS13aWRvdy1hdXRvLWZlbSUyRiZhbXA7X3dwbm9uY2U9MThkZDg1MzI3MCJ9,https://multiversebeans.com/wp-content/uploads/2025/04/multiverse-beans-logo.svg,"3 Pack, 7 Pack",AutoFlower,"Hybrid, Indica",Feminized,10,germination guaranteed,1,Seed Type,treme Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-white-widow/prod_411,2026-01-12T12:55:38.467178,www.cannabis-seeds-bank.co.uk,2,,,,,,,,,,,,,Dutch Passion Seeds White Widow is available to buy at the Attitude Seedbank - best online store with widest collection of cannabis seeds souvenirs. Discreet worldwide shipping.,"White Widow, Dutch Passion Seeds, Cannabis Seeds, Marijuana Seeds, white, widow, dutch, passion, seeds, cannabis, marijuana, fem, feminized, female,","index, follow","width=device-width, initial-scale=1.0",,,,,,,,,Dutch Passion Seeds - White Widow | Lowest Prices For Top Quality Cannabis Seeds Souvenirs UK,,,,,,,,,,g,happy,happy,1,happy,"orange, sweet",orange,orange,,,,,,,,,,,,,,,FALSE,Cannabiogen Seeds,FALSE,The World's Largest,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Awards', 'Genetics']",5,33.3,Basic,40,2 days,"9.99, 26.49, 31.99, 39.99, 47.49, 62.49, 75.99",9.99,75.99,40.12,16,"5, 10",5,10,,400,500,400-500 g,sweet,s Seeds,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://dutch-passion.us/cannabis-seeds/white-widow,2026-01-12T12:55:38.809599,dutch-passion.us,2,Zaadhandel Dutch Passion BV,https://dutch-passion.us/,https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg,White Widow,"Get the legendary White Widow original feminised cannabis seeds: fast-growing, potent buds with a classic spicy-pine aroma, high THC, and easy to grow!",,,,,,https://dutch-passion.us/media/catalog/product/cache/c13ed0cb31bcc7ae9de40ed76d07140e/w/h/white-widow-dutch-passion-seed-company_1_1.jpg,Buy White Widow Cannabis Seeds | Dutch Passion USA,"Get the legendary White Widow original feminised cannabis seeds: fast-growing, potent buds with a classic spicy-pine aroma, high THC, and easy to grow!",White Widow,"INDEX,FOLLOW","width=device-width, initial-scale=1",product,Buy White Widow Cannabis Seeds | Dutch Passion USA,"Get the legendary White Widow original feminised cannabis seeds: fast-growing, potent buds with a classic spicy-pine aroma, high THC, and easy to grow!",https://dutch-passion.us/cannabis-seeds/white-widow,https://dutch-passion.us/media/catalog/product/cache/dba01b1256d866689f55947f80a6aea8/w/h/white-widow-dutch-passion-seed-company_1_1.jpg,Dutch Passion USA,49.95,USD,Buy White Widow Cannabis Seeds | Dutch Passion USA,"10.0, 14.99, 16.65, 49.95, 74.95, 99.95",10,99.95,44.41,6,0.3,0.3,0.3,,,"euphoric, creative, uplifting, energetic, relaxing",euphoric,5,"euphoric, creative, uplifting, energetic","orange, citrus, fruity, earthy, sweet, spicy, diesel",orange,"orange, citrus",fruity,spicy,diesel,,https://dutch-passion.us/media/catalog/product/cache/3a1e3391f5809e6d22ec461969e3be30/w/h/white-widow-dutch-passion-seed-company_1_1.jpg,1,"https://dutch-passion.us/media/snowdog/menu/node/a/u/autoflower-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/f/e/feminized-seeds_3.svg, https://dutch-passion.us/media/snowdog/menu/node/r/e/regular-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/i/n/indoor-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/o/u/outdoor-seeds_1.svg",49,"https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg, https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg, https://dutch-passion.us/media/wysiwyg/payment-icons/usps-logo.svg, https://dutch-passion.us/media/wysiwyg/payment-icons/usps-logo.svg, https://dutch-passion.us/media/ageverification/resized/logo-Dutch-Passion-39-years-2026.png",5,55,TRUE,cannabis cups | Cannabis cup winners | Cannabis cup winners | 1st Prize C | 1st Prize C,7,TRUE,+38 Years ExperienceSafe PaymentDiscreet Shipping,TRUE,White Widow,"['JSON-LD', 'Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,49.7,Standard,67,,,,,,,,,,,,,,sweet,crossing Brazilian and Indian strains,F1,,,earthy,,,,,relaxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-ultimate/prod_2744,2026-01-12T12:55:39.076615,www.cannabis-seeds-bank.co.uk,2,,,,,,,,,,,,,"One of the heaviest yielding automatics to come from Dutch Passion. AutoUltimate is the AutoFem version of our bestseller ‘The Ultimate’. Place an order securely online on our website or over the phone for discounts, promotions and extra freebies.","Dutch Passion Seeds, AutoUltimate, Auto Ultimate, Dutch passion seeds, autoultimate, Attitude seed bank, the attitude, dutch, passion, seeds, auto ultimate, auto, ultimate, fem, feminized, female, marijuana, cannabis, seeds,","index, follow","width=device-width, initial-scale=1.0",,,,,,,,,Auto Ultimate - Dutch Passion Seeds | Order Securely Online Best Quality Marijuana Seeds UK,,,,,,,,,600,g,happy,happy,1,happy,"orange, sweet",orange,orange,,,,,,,,,,,,,,,FALSE,Cannabiogen Seeds,FALSE,The World's Largest,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Awards', 'Genetics']",5,33.3,Basic,39,2 days,"26.49, 31.99, 39.99, 47.49, 53.49",26.49,53.49,37.56,14,"3, 7",3,7,0.07,,,,sweet,s Seeds,F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-ultimate,2026-01-12T12:55:39.451184,dutch-passion.us,2,Zaadhandel Dutch Passion BV,https://dutch-passion.us/,https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg,Auto Ultimate,Auto Ultimate is a world-class autoflower with a proven track record of several hundred-gram harvests of big frosty buds with a citrus aroma and very high THC.,,,,,,https://dutch-passion.us/media/catalog/product/cache/c13ed0cb31bcc7ae9de40ed76d07140e/a/u/auto-ultimate-dutch-passion-seed-company_1_3.jpg,Buy Auto Ultimate Cannabis Seeds | Dutch Passion USA,Auto Ultimate is a world-class autoflower with a proven track record of several hundred-gram harvests of big frosty buds with a citrus aroma and very high THC.,Auto Ultimate,"INDEX,FOLLOW","width=device-width, initial-scale=1",product,Buy Auto Ultimate Cannabis Seeds | Dutch Passion USA,Auto Ultimate is a world-class autoflower with a proven track record of several hundred-gram harvests of big frosty buds with a citrus aroma and very high THC.,https://dutch-passion.us/cannabis-seeds/auto-ultimate,https://dutch-passion.us/media/catalog/product/cache/dba01b1256d866689f55947f80a6aea8/a/u/auto-ultimate-dutch-passion-seed-company_1_3.jpg,Dutch Passion USA,44.95,USD,Buy Auto Ultimate Cannabis Seeds | Dutch Passion USA,"12.14, 14.98, 44.95, 84.95",12.14,84.95,39.26,4,0.3,0.3,0.3,21,oz,"euphoric, cerebral, energetic, relaxing, body, calming",euphoric,6,"euphoric, cerebral, energetic","lemon, lime, orange, citrus, fruity, earthy, sweet, spicy",lemon,"lemon, lime, orange, citrus",fruity,spicy,,,https://dutch-passion.us/media/catalog/product/cache/3a1e3391f5809e6d22ec461969e3be30/a/u/auto-ultimate-dutch-passion-seed-company_1_3.jpg,1,"https://dutch-passion.us/media/snowdog/menu/node/a/u/autoflower-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/f/e/feminized-seeds_3.svg, https://dutch-passion.us/media/snowdog/menu/node/r/e/regular-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/i/n/indoor-seeds_1.svg, https://dutch-passion.us/media/snowdog/menu/node/o/u/outdoor-seeds_1.svg",48,"https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg, https://dutch-passion.us/media/logo/stores/1/dp-logo-38.svg, https://dutch-passion.us/media/wysiwyg/payment-icons/usps-logo.svg, https://dutch-passion.us/media/wysiwyg/payment-icons/usps-logo.svg, https://dutch-passion.us/media/ageverification/resized/logo-Dutch-Passion-39-years-2026.png",5,54,TRUE,cannabis cups | Cannabis cup winners | Cannabis cup winners | cup winners | cup winners,5,TRUE,+38 Years ExperienceSafe PaymentDiscreet Shipping,TRUE,Auto Ultimate,"['JSON-LD', 'Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,53.5,Standard,70,,,,,,,,,,,,,,sweet,carefully selecting and crossing The Ultimate with,,,,earthy,,,,,"relaxing, body, calming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"myrcene, limonene, pinene, linalool, caryophyllene",myrcene,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Passion,Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-trichome-and-cream/prod_7707,2026-01-12T12:55:39.689862,www.cannabis-seeds-bank.co.uk,2,,,,,,,,,,,,,"Dutch Passion Seeds Auto Trichome & Cream cannabis seeds are available to buy online at The Attitude Seedbank. Worldwide shipping, discreet shipping, promotions and freebies.","Dutch Passion Seeds Auto Trichome & Cream, auto trichome & cream, dutch passion seeds, cannabis seeds, marijuana seeds, pot seeds, ","index, follow","width=device-width, initial-scale=1.0",,,,,,,,,Dutch Passion Seeds | Dutch Passion Seeds Auto Trichome & Cream,,,,,,,,,,,happy,happy,1,happy,"orange, sweet",orange,orange,,,,,,,,,,,,,,,FALSE,Cannabiogen Seeds,FALSE,The World's Largest,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Awards', 'Genetics']",5,33.3,Basic,37,2 days,"26.49, 31.99, 39.99, 47.49, 64.39, 80.49",26.49,80.49,41.42,16,"3, 7",3,7,0.17,,,,sweet,s Seeds,F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
