url,name,description,brand,price,yield_min,yield_max,type,effects,flavors,seedbank,quality_score,thc_min,thc_max,flowering_min,flowering_max,genetics
https://amsterdammarijuanaseeds.com/amnesia-trance-autoflower-seeds/,Amnesia Trance Autoflower Marijuana Seeds,"Amnesia Trance autoflower marijuana seeds, the best auto-flower strain from Amsterdam. Free shipping ✓ Breeding high-quality genetics since 1996",,,300,300,Autoflower,"Euphoric, Happy, Creative","Fruity, Citrus, Earthy, Lemon",Amsterdam Marijuana Seeds,35.77235772,,,,,
https://amsterdammarijuanaseeds.com/420-carat-feminized/,420 Carat Feminized Seeds - The Royal Member | AMS,"A cross between Critical and White Widow, this strain features a 23% THC level with therapeutic effects on chronic pain and muscle spasms. Enjoy a woody and sweet taste.",,,900,900,Autoflower,"Relaxed, Euphoric, Happy, Creative","Sweet, Earthy",Amsterdam Marijuana Seeds,52.03252033,23,23,,,
https://amsterdammarijuanaseeds.com/ak47-xtrm/,AK 47 XTRM Seeds - Standout In The World Of Cannabis,"AK 47 XTRM is a sweet and unforgettable strain, you will salivate like a kid in a candy store - Crystallized buds and great yields - Soar to new heights",Us,,900,900,Autoflower,"Relaxed, Euphoric, Happy","Sweet, Citrus, Earthy, Pine",Amsterdam Marijuana Seeds,56.91056911,0,0,,,
https://amsterdammarijuanaseeds.com/ak47-xtrm-autoflower/,AK 47 XTRM ® Autoflower Seeds - Magic In The Garden,AK 47 XTRM ® autoflower seeds: THC levels of 20-30% with high CBD - An exceptional cross of White Widow XTRM and classic AK 47 - Sweet aroma with citrus notes.,,,550,550,Autoflower,"Relaxed, Euphoric, Happy, Creative","Sweet, Citrus, Earthy, Pine",Amsterdam Marijuana Seeds,52.03252033,,,8,8,
https://amsterdammarijuanaseeds.com/afghan-feminized-seeds/,Afghan Feminized Seeds - Relieving Insomnia,"The Afghan strain, with THC levels of 20-30%, this 100% Indica strain offers a strong aroma with fruity and peppery notes. Enjoy psychedelic effects, good vibes, and deep relaxation.",,,,,Autoflower,"Relaxed, Euphoric, Happy","Fruity, Earthy",Amsterdam Marijuana Seeds,27.64227642,,,,,100% Indica
https://amsterdammarijuanaseeds.com/ams-xtrm-feminized/,AMS XTRM ® Feminized Seeds - Take You To Happy Places,AMS XTRM ® THC levels of 23% - Exotic taste with spicy notes and citrus flavors - Buds covered in nice sticky resin - One of the most powerful stable growing strains,,,400,400,Autoflower,"Relaxed, Euphoric, Happy, Creative",Citrus,Amsterdam Marijuana Seeds,60.16260163,23,23,,,80% Sativa
https://amsterdammarijuanaseeds.com/ak-47-xtrm-feminized/,AK 47 XTRM Feminized Seeds: A Cultivator's Dream,"Grow your own AK 47 XTRM feminized strain for a powerful high, delightful flavors, and easy cultivation. Experience its outstanding yield and premium quality.",,,800,800,Autoflower,"Relaxed, Euphoric, Happy, Creative, Energetic","Citrus, Earthy, Pine",Amsterdam Marijuana Seeds,52.03252033,,,8,8,
https://amsterdammarijuanaseeds.com/afghan/,Afghan Strain Regular Marijuana Seeds - AMS,Buy Afghan strain regular marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,,,800,800,Autoflower,"Relaxed, Happy, Creative, Energetic","Sweet, Earthy, Diesel",Amsterdam Marijuana Seeds,43.90243902,,,,,100% Indica
https://amsterdammarijuanaseeds.com/apple-fritter-feminized/,Apple Fritter: A Earthly Flavored Weed Strain! | AMS,Buy your feminized Apple Fritter seeds now! ✓ Check sale ✓ Free grow guide! ✓ Free shipping straight from Amsterdam!,,,450,450,Autoflower,"Relaxed, Euphoric, Happy, Creative, Energetic","Fruity, Earthy",Amsterdam Marijuana Seeds,35.77235772,,,,,
https://amsterdammarijuanaseeds.com/ams-supreme-autoflower/,AMS Supreme Autoflower Marijuana Seeds,Indulge AMS Supreme autoflower marijuana seeds. Breeding high-quality strains since 1996 ✓ Free grow guide!,Amsterdam Marijuana Seeds,,500,500,Autoflower,"Relaxed, Euphoric, Happy, Creative","Sweet, Citrus, Earthy, Pine",Amsterdam Marijuana Seeds,48.7804878,,,,,60% Indica
