url,name,description,brand,price,thc_min,thc_max,cbd_min,cbd_max,flowering_min,flowering_max,yield_min,yield_max,genetics,type,flavors,seedbank,quality_score,effects
https://herbiesheadshop.com/cannabis-seeds/cbd-critical-mass-1-1-herbies-seeds-usa,CBD Critcal Mass (1:1) (Herbies Seeds),,Herbies Seeds,,6,6,0,0,60,70,8,8,strain x Critical,Autoflower,"Sweet, Fruity, Citrus",Herbies Seeds,90.24390244,
https://herbiesheadshop.com/cannabis-seeds/tangiematic-auto,Tangie'matic Auto Seeds,Tangiematic auto fem seeds for sale. High-quality cannabis seeds at reasonable prices. We guarantee at least one free seed with every order. Stealth shipping within 24 hours,Fast Buds,65,23,23,1,1,63,70,8,8,65% Sativa,Autoflower,"Sweet, Fruity, Citrus",Herbies Seeds,100,"Euphoric, Happy, Creative, Energetic"
https://herbiesheadshop.com/cannabis-seeds/z-fast-version-herbies-seeds-usa,Zkittlez Fast Version (Herbies Seeds),,Herbies Seeds,,17,25,,,56,63,3,3,Z x elite,Autoflower,"Sweet, Citrus, Grape",Herbies Seeds,78.86178862,"Euphoric, Creative"
https://herbiesheadshop.com/cannabis-seeds/cheese-barneys-farm,Cheese Seeds,"Buy Cheese fem seeds by Barney's Farm. Our shop is the most reliable, customer-friendly and the best place for buying marijuana seed. Fast and discreet shipping within 24 hours",Barney's Farm,,23,23,,,50,55,6,2,Cheese x Blue,Autoflower,"Sweet, Fruity, Earthy",Herbies Seeds,81.30081301,"Relaxed, Happy"
https://herbiesheadshop.com/cannabis-seeds/bruce-banner-auto-fastbuds,Bruce Banner Seeds (Fast Buds),Bruce Banner Auto feminized cannabis seeds From Fast Buds. Fast and discreet shipping. Free seeds with every order.,Fast Buds,65,25,25,,,70,77,5,2,65% Sativa,Autoflower,"Sweet, Fruity, Citrus, Diesel, Berry",Herbies Seeds,83.7398374,"Relaxed, Euphoric, Happy, Creative"
https://herbiesheadshop.com/cannabis-seeds/kosher-kush-herbies-seeds-usa,Kosher Kush (Herbies Seeds),,Herbies Seeds,65,20,23,,,56,63,6,2,30% Sativa,Autoflower,"Citrus, Pine",Herbies Seeds,81.30081301,"Relaxed, Happy"
https://herbiesheadshop.com/cannabis-seeds/girl-scout-cookies-blimburn-seeds,Girl Scout Cookies,"One of the most popular strains originating in California, Girl Scout Cookies has won numerous Cannabis Cup awards for its outstanding flavor, smokability and long-lasting mind and body high. Seeds grow into Thin Mint and Platinum Cookies phenotypes: one giving a high typical of sativas and the other typical of indicas. The bouquet is sweet and earthy and the flavor rich, minty and reminiscent of those cookies we all know and love. Bright green, purple and hairy orange buds are ready to harvest after 9 to 10 weeks of flowering.",Blimburn Seeds     Strain Gender   Feminized     Strain,52.62,18,25,,,65,70,6,6,Poison x OG,Autoflower,"Sweet, Earthy, Diesel",Herbies Seeds,83.7398374,"Relaxed, Happy"
https://herbiesheadshop.com/cannabis-seeds/ice-cream-growers-choice,Ice Cream Seeds,"Buy Ice Cream fem seeds by Growers Choice. Our shop is the most reliable, customer-friendly and the best place for buying marijuana seed. Fast and discreet shipping within 24 hours",Growers Choice,,22,22,1,1,55,65,6,6,Widow x Bubble,Autoflower,Sweet,Herbies Seeds,97.56097561,"Relaxed, Creative, Focused, Energetic"
https://herbiesheadshop.com/cannabis-seeds/northern-lights-autoflower-growers-choice,Northern Lights Autoflower Seeds,"Buy Northern Lights Autoflower fem seeds by Growers Choice. Our shop is the most reliable, customer-friendly and the best place for buying marijuana seed. Fast and discreet shipping within 24 hours",Growers Choice,,20,20,,,50,60,6,6,Afghani x Thai,Autoflower,"Sweet, Earthy, Pine",Herbies Seeds,81.30081301,"Relaxed, Euphoric, Happy"
https://herbiesheadshop.com/cannabis-seeds/grizzly-purple-kush-blimburn-seeds,Grizzly Purple Kush,"It's strong and heavy taste, with sweet and flowery aroma and a very high THC level usually lasts about an hour or two, depending on the drying and curing process. There are many types of Kush. Grizzly Purple Kush is one of the most powerful strains of marijuana. Grizzly Purple Kush is versatile, performing well for both indoor and outdoor. It works very well in screen of green or sea of green setups. It's well known for its powerful, relaxing effect, used for relief for medical cannabis users in case of stress, severe pain or sleep loss.",Blimburn Seeds     Strain Gender   Feminized     Strain,52.62,15,20,,,55,60,8,8,Kosher x G13,Autoflower,"Fruity, Citrus, Earthy, Pine, Diesel",Herbies Seeds,83.7398374,"Relaxed, Happy"
