seed_bank,breeder_name,source_url,scraped_at,url_domain,extraction_version,meta_robots,meta_description,meta_og_locale,meta_og_type,meta_og_title,meta_og_description,meta_og_url,meta_og_site_name,meta_article_modified_time,meta_og_image,meta_og_image_width,meta_og_image_height,meta_og_image_type,meta_twitter_card,meta_twitter_label1,meta_twitter_data1,meta_generator,meta_viewport,meta_msapplication_tileimage,page_title,prices_usd,min_price_usd,max_price_usd,flavors_all,total_image_count,product_images,has_awards,genetics_lineage,strain_name,extraction_methods_used,method_count,data_completeness_score,market_tier,total_fields_captured,effects_all
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/green-wolfe-seed-co-urkleberry-kush-12-reg-seeds/,2026-01-12T17:31:00.323813,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Green Wolfe Seed Co. - Urkleberry Kush (12 reg seeds) Genetics: Purple Urkle x a worked (2012) F3 of Dynasty’s Huckleberry Kush.,en_US,article,Green Wolfe Seed Co. - Urkleberry Kush (12 reg seeds) - Great Lakes Genetics,Green Wolfe Seed Co. - Urkleberry Kush (12 reg seeds) Genetics: Purple Urkle x a worked (2012) F3 of Dynasty’s Huckleberry Kush.,https://www.greatlakesgenetics.com/product/green-wolfe-seed-co-urkleberry-kush-12-reg-seeds/,Great Lakes Genetics,2025-10-28T00:27:30+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Green-Wolfe-Urkleberry-Kush.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,1 minute,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Green Wolfe Seed Co. - Urkleberry Kush (12 reg seeds) - Great Lakes Genetics,50,50,50,earthy,5,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Green-Wolfe-Urkleberry-Kush.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Urkleberry-Kush-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Urkleberry-Kush-2.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Urkleberry-Kush-3.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Green Wolfe,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33,Basic,38,
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/night-owl-seeds-space-station-gold-3-auto-fem-seeds/,2026-01-12T17:31:00.542920,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Night Owl Seeds - Space Station Gold (3 auto fem seeds) Genetics: Cosmic Queen F4S1 x Vanilla Fizz F1,en_US,article,Night Owl Seeds - Space Station Gold (3 auto fem seeds) - Great Lakes Genetics,Night Owl Seeds - Space Station Gold (3 auto fem seeds) Genetics: Cosmic Queen F4S1 x Vanilla Fizz F1,https://www.greatlakesgenetics.com/product/night-owl-seeds-space-station-gold-3-auto-fem-seeds/,Great Lakes Genetics,2026-01-01T23:17:08+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/02/Night-Owl-Seeds-nbr-2-e1744844061356.png,771,771,image/png,summary_large_image,Est. reading time,1 minute,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Night Owl Seeds - Space Station Gold (3 auto fem seeds) - Great Lakes Genetics,50,50,50,diesel,3,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/02/Night-Owl-Seeds-nbr-2-e1744844061356.png, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Space-Staion-Gold-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Night Owl,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33,Basic,38,
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/satori-seeds-lalita-auto-12-reg-auto-seeds/,2026-01-12T17:31:00.748203,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Satori Seeds - Lalitā Auto (12 reg auto seeds) - Genetics: Mexican x Siberian Ruderalis x OG Kush,en_US,article,Satori Seeds - Lalitā Auto (12 reg auto seeds) - Great Lakes Genetics,Satori Seeds - Lalitā Auto (12 reg auto seeds) - Genetics: Mexican x Siberian Ruderalis x OG Kush,https://www.greatlakesgenetics.com/product/satori-seeds-lalita-auto-12-reg-auto-seeds/,Great Lakes Genetics,2025-11-18T19:59:16+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/Lalita-Auto-10.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,2 minutes,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Satori Seeds - Lalitā Auto (12 reg auto seeds) - Great Lakes Genetics,60,60,60,"sweet, citrus",9,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/Lalita-Auto-10.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/Lalita-Auto-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/Lalita-Auto-1.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/Lalita-Auto-2.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/Lalita-Auto-3.jpg",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Satori,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.8,Basic,39,"creative, focused, happy"
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/off-grid-seeds-aruba-16-reg-seeds/,2026-01-12T17:31:00.923959,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Off-Grid Seeds - Aruba (16 reg seeds) Genetics: Aruba line originally collected via Bodhi,en_US,article,Off-Grid Seeds - Aruba (16 reg seeds) - Great Lakes Genetics,Off-Grid Seeds - Aruba (16 reg seeds) Genetics: Aruba line originally collected via Bodhi,https://www.greatlakesgenetics.com/product/off-grid-seeds-aruba-16-reg-seeds/,Great Lakes Genetics,2025-12-09T03:43:58+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Off-Grid-Seeds-Aruba.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,2 minutes,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Off-Grid Seeds - Aruba (16 reg seeds) - Great Lakes Genetics,60,60,60,spicy,3,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Off-Grid-Seeds-Aruba.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Aruba-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Off-Grid,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33,Basic,38,
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/northern-leaf-seeds-hoochie-seeds-f1-12-reg-seeds/,2026-01-12T17:31:01.164684,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Northern Leaf Seeds - Hoochie Seeds F1 (12 reg seeds) Lineage: (GG#4 x Cheese) x MILF,en_US,article,Northern Leaf Seeds - Hoochie Seeds F1 (12 reg seeds) - Great Lakes Genetics,Northern Leaf Seeds - Hoochie Seeds F1 (12 reg seeds) Lineage: (GG#4 x Cheese) x MILF,https://www.greatlakesgenetics.com/product/northern-leaf-seeds-hoochie-seeds-f1-12-reg-seeds/,Great Lakes Genetics,2025-11-11T23:52:41+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Hoochie.png,800,800,image/png,summary_large_image,Est. reading time,1 minute,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Northern Leaf Seeds - Hoochie Seeds F1 (12 reg seeds) - Great Lakes Genetics,40,40,40,,3,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Hoochie.png, https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Hoochie-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Northern Leaf,"['Meta Tags', 'Pricing', 'Media Assets', 'Awards', 'Genetics']",5,27.2,Basic,37,
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/matchmaker-genetics-rasta-sheesh-6-fem-seeds/,2026-01-12T17:31:01.351187,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Matchmaker Genetics - Rasta Sheesh (6 fem seeds) Genetics: Rasta Government x Sheesh(r),en_US,article,Matchmaker Genetics - Rasta Sheesh (6 fem seeds) - Great Lakes Genetics,Matchmaker Genetics - Rasta Sheesh (6 fem seeds) Genetics: Rasta Government x Sheesh(r),https://www.greatlakesgenetics.com/product/matchmaker-genetics-rasta-sheesh-6-fem-seeds/,Great Lakes Genetics,2025-11-03T21:07:35+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Matchmaker-Rasta-Sheesh.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,1 minute,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Matchmaker Genetics - Rasta Sheesh (6 fem seeds) - Great Lakes Genetics,80,80,80,citrus,3,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Matchmaker-Rasta-Sheesh.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Rasta-Sheesh-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,- Rasta Sheesh (6 fem seeds) - Great Lakes Genetics                                              3rd Coast Family Farms3,Matchmaker Genetics – Rasta Sheesh (6 fem seeds),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33,Basic,38,
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/sunny-valley-seed-co-kc36-haze-50-reg-seeds/,2026-01-12T17:31:01.542698,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Sunny Valley Seed Co - KC36 Haze. Genetics: Ze Chem x EQ Haze x KC36. Seeds per pack: 50. Sex: Regular,en_US,article,Sunny Valley Seed Co - KC36 Haze (50 reg seeds) - Great Lakes Genetics,Sunny Valley Seed Co - KC36 Haze. Genetics: Ze Chem x EQ Haze x KC36. Seeds per pack: 50. Sex: Regular,https://www.greatlakesgenetics.com/product/sunny-valley-seed-co-kc36-haze-50-reg-seeds/,Great Lakes Genetics,2025-10-28T01:20:31+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2024/10/Sun-Valley-Seed-Co-logo.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,1 minute,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Sunny Valley Seed Co - KC36 Haze (50 reg seeds) - Great Lakes Genetics,200,200,200,"earthy, spicy, citrus",3,"https://www.greatlakesgenetics.com/wp-content/uploads/2024/10/Sun-Valley-Seed-Co-logo.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/09/KC-36-Haze-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Sunny Valley,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33,Basic,38,
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/subcool-seeds-chernobyl-f2-5-fem-seeds/,2026-01-12T17:31:01.705651,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Subcool Seeds - Chernobyl F2 (5 fem. seeds) Genetics: Chernobyl x Slymer (Reversed),en_US,article,Great Lakes Genetics - Subcool Seeds - Chernobyl F2 (5 fem. seeds),Subcool Seeds - Chernobyl F2 (5 fem. seeds) Genetics: Chernobyl x Slymer (Reversed),https://www.greatlakesgenetics.com/product/subcool-seeds-chernobyl-f2-5-fem-seeds/,Great Lakes Genetics,2025-12-23T21:54:51+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Subcool-Seeds-Chernobyl.jpeg,800,800,image/jpeg,summary_large_image,Est. reading time,1 minute,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Great Lakes Genetics - Subcool Seeds - Chernobyl F2 (5 fem. seeds),60,60,60,"earthy, pine, citrus",3,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Subcool-Seeds-Chernobyl.jpeg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Chernobyl-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,- Subcool Seeds - Chernobyl F2 (5 fem,Subcool,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.8,Basic,39,euphoric
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/forests-fires-bless-the-rains-5-reg-auto-seeds/,2026-01-12T17:31:01.911455,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Forest's Fires - Bless The Rains (5 reg auto seeds) Genetics: Durban Sunrise (20/20) x Purple Bible Paper (Forests Fires),en_US,article,Forest's Fires - Bless The Rains (5 reg auto seeds) - Great Lakes Genetics,Forest's Fires - Bless The Rains (5 reg auto seeds) Genetics: Durban Sunrise (20/20) x Purple Bible Paper (Forests Fires),https://www.greatlakesgenetics.com/product/forests-fires-bless-the-rains-5-reg-auto-seeds/,Great Lakes Genetics,2025-12-03T15:43:27+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Forests-Fires-Bless-the-Rains.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,6 minutes,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Forest's Fires - Bless The Rains (5 reg auto seeds) - Great Lakes Genetics,30,30,30,spicy,6,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Forests-Fires-Bless-the-Rains.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Bless-the-Rains-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Bless-the-Rains-3.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Bless-the-Rains-4.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/10/Bless-the-Rains-2.jpg",FALSE,3rd Coast Family Farms3Thirteen SeedsADK GrassAntenna SeedsAnthos SeedsAV3 GeneticsBackyard BoogieBig Cloud PresentsBlac,Forest’s Fires – Bless The Rains (5 reg auto seeds),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.8,Basic,39,"euphoric, creative"
Great Lakes Genetics,Great Lakes Genetics,https://www.greatlakesgenetics.com/product/jaws-genetics-exodus-cheese-bc1-f2-12-reg-seeds/,2026-01-12T17:31:02.129488,www.greatlakesgenetics.com,2,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Jaws Genetics - Exodus Cheese BC1/F2 (12 reg seeds) Genetics: Exodus Cheese BC1 x Exodus Cheese BC1,en_US,article,Jaws Genetics - Exodus Cheese BC1/F2 (12 reg seeds) - Great Lakes Genetics,Jaws Genetics - Exodus Cheese BC1/F2 (12 reg seeds) Genetics: Exodus Cheese BC1 x Exodus Cheese BC1,https://www.greatlakesgenetics.com/product/jaws-genetics-exodus-cheese-bc1-f2-12-reg-seeds/,Great Lakes Genetics,2025-12-16T20:16:49+00:00,https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Jaws-Exodus-Cheese-BC1-F2.jpg,800,800,image/jpeg,summary_large_image,Est. reading time,3 minutes,WooCommerce 10.4.3,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",https://www.greatlakesgenetics.com/wp-content/uploads/2019/12/Favicon.png,Jaws Genetics - Exodus Cheese BC1/F2 (12 reg seeds) - Great Lakes Genetics,50,50,50,,3,"https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Jaws-Exodus-Cheese-BC1-F2.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2025/11/Exodus-Cheese-BC1-f.jpg, https://www.greatlakesgenetics.com/wp-content/uploads/2023/07/credit-cards-300x30.png",FALSE,- Exodus Cheese BC1/F2 (12 reg seeds) - Great Lakes Genetics                                              3rd Coast Fami,Jaws Genetics – Exodus Cheese BC1/F2 (12 reg seeds),"['Meta Tags', 'Pricing', 'Media Assets', 'Awards', 'Genetics']",5,27.2,Basic,37,
