seed_bank,breeder_name,source_url,scraped_at,url_domain,extraction_version,meta_viewport,meta_robots,meta_og_locale,meta_description,meta_og_title,meta_og_description,meta_og_image,meta_og_url,meta_og_type,meta_og_site_name,meta_twitter_title,meta_twitter_description,meta_twitter_image,meta_twitter_card,meta_product_availability,page_title,prices_usd,min_price_usd,max_price_usd,avg_price_usd,price_count_usd,package_sizes,min_package_size,max_package_size,yield_amount,yield_unit,product_images,total_image_count,has_awards,parent_1,parent_2,genetics_lineage,is_hybrid,strain_name,extraction_methods_used,method_count,data_completeness_score,market_tier,total_fields_captured,effects_all,primary_effect,effects_mental,effects_physical,thc_content,thc_min,thc_max
ILGM,ILGM,https://ilgm.com/products/banana-kush-autoflower-seeds,2026-01-13T14:43:40.671095,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Banana Kush Autoflower is a marijuana strain with real banana dessert flavor and euphoric, relaxed effects. | Free Discreet Shipping",Buy Banana Kush Autoflower Seeds | Germination Guarantee,"Banana Kush Autoflower is a marijuana strain with real banana dessert flavor and euphoric, relaxed effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_Autoflower_b61c72e6_thumbnail_512.webp,https://ilgm.com/banana-kush-autoflower-seeds,product,ILGM,Buy Banana Kush Autoflower Seeds | Germination Guarantee,"Banana Kush Autoflower is a marijuana strain with real banana dessert flavor and euphoric, relaxed effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_Autoflower_b61c72e6_thumbnail_512.webp,summary_large_image,out of stock,Buy Banana Kush Autoflower Seeds | Germination Guarantee,"50.0, 94.0, 129.0, 179.0",50,179,113,4,"5, 10, 20",5,20,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_Autoflower_b61c72e6_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_Close_up_9db1dc57_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_5258d62d_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_149e6ba3_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_9bfbceae_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_Autoflower_b61c72e6_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_Close_up_9db1dc57_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Banana_Kush_5258d62d_thumbnail_4096.webp",20,FALSE,ShopDealsLearnCommunityHomeBanana Kush Autoflower SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeBanana Kush Autoflower SeedsPreviousNe × tBeginnerTHC,TRUE,Banana Kush,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,24.6,Basic,42,,,,,,,
ILGM,ILGM,https://ilgm.com/products/la-kush-cake-autoflower-seeds,2026-01-13T14:43:41.310300,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,LA Kush Cake Autoflower is rich in cake-and-mint gas flavor and leaves you happy and relaxed | Free Discreet Shipping,Buy LA Kush Cake Autoflower Seeds | Germination Guarantee,LA Kush Cake Autoflower is rich in cake-and-mint gas flavor and leaves you happy and relaxed | Free Discreet Shipping,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_Autoflower_bd23698c_thumbnail_512.webp,https://ilgm.com/la-kush-cake-autoflower-seeds,product,ILGM,Buy LA Kush Cake Autoflower Seeds | Germination Guarantee,LA Kush Cake Autoflower is rich in cake-and-mint gas flavor and leaves you happy and relaxed | Free Discreet Shipping,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_Autoflower_bd23698c_thumbnail_512.webp,summary_large_image,out of stock,Buy LA Kush Cake Autoflower Seeds | Germination Guarantee,"50.0, 84.0, 99.0, 169.0",50,169,100.5,4,"5, 10, 20",5,20,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_Autoflower_bd23698c_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_02dde74e_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_909e9f82_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_a4fc0ac0_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_Autoflower_bd23698c_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_02dde74e_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_909e9f82_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_a4fc0ac0_thumbnail_4096.webp",18,FALSE,ShopDealsLearnCommunityHomeLA Kush Cake Autoflower SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeLA Kush Cake Autoflower SeedsPreviousNe × tBeginnerTHC,TRUE,LA Kush Cake,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,24.6,Basic,42,,,,,,,
ILGM,ILGM,https://ilgm.com/products/blue-dream-feminized-seeds,2026-01-13T14:43:41.742262,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Blue Dream seeds deliver a smooth, berry-flavored high with uplifting, creative effects. Easy to grow with high yields, this legendary Blue Dream cultivar is a...",Buy Blue Dream Feminized Seeds | Top-Selling Blue Dream – ILGM,"Blue Dream seeds deliver a smooth, berry-flavored high with uplifting, creative effects. Easy to grow with high yields, this legendary Blue Dream cultivar is a...",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_c009dadf_thumbnail_512.webp,https://ilgm.com/blue-dream-feminized-seeds,product,ILGM,Buy Blue Dream Feminized Seeds | Top-Selling Blue Dream – ILGM,"Blue Dream seeds deliver a smooth, berry-flavored high with uplifting, creative effects. Easy to grow with high yields, this legendary Blue Dream cultivar is a...",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_c009dadf_thumbnail_512.webp,summary_large_image,out of stock,Buy Blue Dream Feminized Seeds | Top-Selling Blue Dream – ILGM,"50.0, 84.0, 109.0, 159.0",50,159,100.5,4,"5, 20, 40",5,40,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_c009dadf_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/2._Blue_Dream_Feminized_Seeds_9fd38681_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Close_Up_26d56381_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_77601f7f_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272",26,FALSE,ShopDealsLearnCommunityHomeBlue Dream SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeBlue Dream SeedsPreviousNe × tBeginnerTHC,TRUE,Blue Dream,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,29.4,Basic,45,"creative, uplifting",creative,"creative, uplifting",,,,
ILGM,ILGM,https://ilgm.com/products/northern-lights-feminized-seeds,2026-01-13T14:43:42.138119,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Northern Lights is an Afghani-Thai classic weed strain that delivers relaxed, sleepy effects | Free Discreet Shipping",Buy Northern Lights Seeds | Germination Guarantee | ILGM,"Northern Lights is an Afghani-Thai classic weed strain that delivers relaxed, sleepy effects | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Northern_Lights_a82b3346_thumbnail_512.webp,https://ilgm.com/northern-lights-feminized-seeds,product,ILGM,Buy Northern Lights Seeds | Germination Guarantee | ILGM,"Northern Lights is an Afghani-Thai classic weed strain that delivers relaxed, sleepy effects | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Northern_Lights_a82b3346_thumbnail_512.webp,summary_large_image,out of stock,Buy Northern Lights Seeds | Germination Guarantee | ILGM,"50.0, 74.0, 99.0, 159.0",50,159,95.5,4,"5, 10, 20",5,20,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Northern_Lights_a82b3346_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Northern_Lights_Close_up_fa961708_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_578306fe_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_ed1fb13b_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Northern_Lights_a82b3346_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Northern_Lights_Close_up_fa961708_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_578306fe_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_ed1fb13b_thumbnail_4096.webp",18,FALSE,ShopDealsLearnCommunityHomeNorthern Lights SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeNorthern Lights SeedsPreviousNe × tBeginnerTHC,TRUE,Northern Lights,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,24.6,Basic,42,,,,,,,
ILGM,ILGM,https://ilgm.com/products/godfather-og-feminized-seeds,2026-01-13T14:43:42.580414,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Buy Godfather OG seeds with discreet shipping, and guaranteed arrival & germination! Grow with the popular Godfather OG feminized seeds today!",Godfather OG Seeds Feminized For Sale - ILGM,"Buy Godfather OG seeds with discreet shipping, and guaranteed arrival & germination! Grow with the popular Godfather OG feminized seeds today!",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Godfather_OG_a7de7ed6_thumbnail_512.webp,https://ilgm.com/godfather-og-feminized-seeds,product,ILGM,Godfather OG Seeds Feminized For Sale - ILGM,"Buy Godfather OG seeds with discreet shipping, and guaranteed arrival & germination! Grow with the popular Godfather OG feminized seeds today!",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Godfather_OG_a7de7ed6_thumbnail_512.webp,summary_large_image,out of stock,Godfather OG Seeds Feminized For Sale - ILGM,"50.0, 84.0, 109.0, 159.0",50,159,100.5,4,"5, 20, 40",5,40,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Godfather_OG_a7de7ed6_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Godfather_OG_Feminized_Seeds_a4555c64_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_691c106d_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_17df6d48_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272",23,FALSE,ShopDealsLearnCommunityHomeGodfather OG SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeGodfather OG SeedsPreviousNe × tBeginnerTHC,TRUE,Godfather OG,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,29.4,Basic,45,"relaxing, calming",relaxing,,"relaxing, calming",,,
ILGM,ILGM,https://ilgm.com/products/la-kush-cake-feminized-seeds,2026-01-13T14:43:43.016873,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"LA Kush Cake is a high potency cannabis that delivers happy, relaxed effects. | Free Discreet Shipping",Buy LA Kush Cake Seeds | Germination Guarantee | ILGM,"LA Kush Cake is a high potency cannabis that delivers happy, relaxed effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_231664e5_thumbnail_512.webp,https://ilgm.com/la-kush-cake-feminized-seeds,product,ILGM,Buy LA Kush Cake Seeds | Germination Guarantee | ILGM,"LA Kush Cake is a high potency cannabis that delivers happy, relaxed effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_231664e5_thumbnail_512.webp,summary_large_image,out of stock,Buy LA Kush Cake Seeds | Germination Guarantee | ILGM,"50.0, 84.0, 99.0, 169.0",50,169,100.5,4,"5, 10, 20",5,20,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_231664e5_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_e0aad695_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_e1779312_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/LA_Kush_Cake_4-5_231664e5_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_e0aad695_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_e1779312_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/184x109/528c033075/logo-footer.svg, https://a-us.storyblok.com/f/1021680/1024x1229/15a4230dec/ilgm-customer-reviews.jpeg/m/2048x2458",16,FALSE,ShopDealsLearnCommunityHomeLA Kush Cake SeedsPreviousNe,tIntermediateTHC,ShopDealsLearnCommunityHomeLA Kush Cake SeedsPreviousNe × tIntermediateTHC,TRUE,LA Kush Cake,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,24.6,Basic,42,,,,,,,
ILGM,ILGM,https://ilgm.com/products/afghan-autoflower-seeds,2026-01-13T14:43:43.428233,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Afghan Autoflower is a marijuana classic with Afghani landrace heritage, delivering relaxed, sedative effects. | Free Discreet Shipping",Buy Afghan Autoflower Seeds | Germination Guarantee | ILGM,"Afghan Autoflower is a marijuana classic with Afghani landrace heritage, delivering relaxed, sedative effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Afghan_Autoflower_1a84e09c_thumbnail_512.webp,https://ilgm.com/afghan-autoflower-seeds,product,ILGM,Buy Afghan Autoflower Seeds | Germination Guarantee | ILGM,"Afghan Autoflower is a marijuana classic with Afghani landrace heritage, delivering relaxed, sedative effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Afghan_Autoflower_1a84e09c_thumbnail_512.webp,summary_large_image,out of stock,Buy Afghan Autoflower Seeds | Germination Guarantee | ILGM,"50.0, 74.0, 99.0, 159.0",50,159,95.5,4,"5, 10, 20",5,20,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Afghan_Autoflower_1a84e09c_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Afghan_93e2bf38_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_4a7111ab_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_7f5f1a8a_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Afghan_Autoflower_1a84e09c_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/AI_Afghan_93e2bf38_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_4a7111ab_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_7f5f1a8a_thumbnail_4096.webp",18,FALSE,ShopDealsLearnCommunityHomeAfghan Autoflower SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeAfghan Autoflower SeedsPreviousNe × tBeginnerTHC,TRUE,Afghan,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,24.6,Basic,42,,,,,,,
ILGM,ILGM,https://ilgm.com/products/blue-dream-autoflower-seeds,2026-01-13T14:43:43.849175,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",Buy Blue Dream Autoflower cannabis seeds - ILGM,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Autoflower_a608d0a5_thumbnail_512.webp,https://ilgm.com/blue-dream-autoflower-seeds,product,ILGM,Buy Blue Dream Autoflower cannabis seeds - ILGM,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Autoflower_a608d0a5_thumbnail_512.webp,summary_large_image,out of stock,Buy Blue Dream Autoflower cannabis seeds - ILGM,"50.0, 84.0, 99.0, 159.0",50,159,98,4,"5, 20, 40",5,40,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Autoflower_a608d0a5_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Autoflower_Seeds_0a7f06dd_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Close_Up_5e06c5e0_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_fbbd087e_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272",29,FALSE,ShopDealsLearnCommunityHomeBlue Dream Autoflower SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeBlue Dream Autoflower SeedsPreviousNe × tBeginnerTHC,TRUE,Blue Dream,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,29.4,Basic,45,uplifting,uplifting,uplifting,,,,
ILGM,ILGM,https://ilgm.com/products/skywalker-og-feminized-seeds,2026-01-13T14:43:44.246400,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,Skywalker OG Seeds are for sale at ILGM and offered with Delivery Warranty and Germination Warranty. Skywalker OG feminized seeds induce a full-body experience...,Skywalker OG Feminized Cannabis Seeds For Sale,Skywalker OG Seeds are for sale at ILGM and offered with Delivery Warranty and Germination Warranty. Skywalker OG feminized seeds induce a full-body experience...,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Skywalker_OG_a969fb8f_thumbnail_512.webp,https://ilgm.com/skywalker-og-feminized-seeds,product,ILGM,Skywalker OG Feminized Cannabis Seeds For Sale,Skywalker OG Seeds are for sale at ILGM and offered with Delivery Warranty and Germination Warranty. Skywalker OG feminized seeds induce a full-body experience...,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Skywalker_OG_a969fb8f_thumbnail_512.webp,summary_large_image,out of stock,Skywalker OG Feminized Cannabis Seeds For Sale,"50.0, 84.0, 109.0, 169.0",50,169,103,4,"5, 10, 20",5,20,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Skywalker_OG_a969fb8f_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Skywalker_OG_Close_up_12789113_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_dea38250_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_31186186_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Skywalker_OG_a969fb8f_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Skywalker_OG_Close_up_12789113_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_7_4-5_dea38250_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/seeds_8_4-5_31186186_thumbnail_4096.webp",18,FALSE,ShopDealsLearnCommunityHomeSkywalker OG SeedsPreviousNe,tIntermediateTHC,ShopDealsLearnCommunityHomeSkywalker OG SeedsPreviousNe × tIntermediateTHC,TRUE,Skywalker OG,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,29.4,Basic,46,"euphoric, relaxing, calming",euphoric,euphoric,"relaxing, calming",,,
ILGM,ILGM,https://ilgm.com/products/biscotti-bliss-feminized-seeds,2026-01-13T14:43:44.625231,ilgm.com,2,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Biscotti Bliss is a marijuana strain with rich cookie-dough sweetness that leaves you relaxed, happy, and uplifted. | Free Discreet Shipping",Buy Biscotti Bliss Seeds | Germination Guarantee | ILGM,"Biscotti Bliss is a marijuana strain with rich cookie-dough sweetness that leaves you relaxed, happy, and uplifted. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Biscotti_Bliss_f2ed70c6_thumbnail_512.webp,https://ilgm.com/biscotti-bliss-feminized-seeds,product,ILGM,Buy Biscotti Bliss Seeds | Germination Guarantee | ILGM,"Biscotti Bliss is a marijuana strain with rich cookie-dough sweetness that leaves you relaxed, happy, and uplifted. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Biscotti_Bliss_f2ed70c6_thumbnail_512.webp,summary_large_image,out of stock,Buy Biscotti Bliss Seeds | Germination Guarantee | ILGM,"50.0, 84.0, 109.0, 169.0",50,169,103,4,"5, 20, 40",5,40,0,G,"https://a-us.storyblok.com/f/1021680/960x120/53e9af1762/ilgm-customer-review-rating.jpg/m/2048x256, https://a-us.storyblok.com/f/1021680/73x46/38474fba8e/logo.svg, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Biscotti_Bliss_f2ed70c6_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Seeds_6718785c_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Seeds_2_91c64d44_thumbnail_4096.webp, https://a-us.storyblok.com/f/1021680/313x272/eb41b12f8c/double-seeds-for-free.webp/m/313x272, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Biscotti_Bliss_f2ed70c6_thumbnail_4096.webp, https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Seeds_6718785c_thumbnail_4096.webp",20,FALSE,ShopDealsLearnCommunityHomeBiscotti Bliss SeedsPreviousNe,tBeginnerTHC,ShopDealsLearnCommunityHomeBiscotti Bliss SeedsPreviousNe × tBeginnerTHC,TRUE,Biscotti Bliss,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,24.6,Basic,42,,,,,,,
