seed_bank,source_url,herb_strain_brand,herb_strain_gender,herb_strain_light_cycle,herb_suitable_for_growing,herb_strain_thc_level,herb_strain_cbd_level,herb_pct_sativa__indica__ruderalis,herb_strain_harvest,herb_indoor_flowering_time,herb_strain_height,herb_strain_effect,herb_genetics,thc_content,cbd_content,indoor_yield_oz_ft2,outdoor_yield_oz_plant,flowering_time_min,flowering_time_max,flowering_time,indoor_height_inches,outdoor_height_inches,genetics_lineage,sativa_percentage,indica_percentage,effects_all,primary_effect,flavors_all,primary_flavor,strain_name,herb_strain_outdoor_finish,herb_from_seed_to_harvest,herb_awards,herb_cbn
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/mimosa-shot-herbies-seeds,Herbies Seeds,Feminized,Photoperiod,"Outdoor, Indoor",24 - 30%,2%,70% Sativa / 30% Indica,2.3 oz/ft² indoors21.2 - 28.2 oz/plant outdoors,56 - 70 days,78.7 inches indoors78.7 inches outdoors,Unapologetic glee,Purple Punch x Clementine,98.29,98.29,2.3,28.2,56,70,56-70 days,78.7,78.7,Purple Punch x Clementine   Show all Show less     Mimosa Shot Strain Reviews    5.0   42 reviews,70,30,"happy, relaxed, euphoric, uplifting, creative, energetic",happy,"sweet, earthy, citrus, pine, fruity",sweet,Mimosa Shot Herbies Seeds,,,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/holy-snow-ghs,Green House Seeds,Feminized,Photoperiod,"Outdoor, Indoor",20 - 24%,1 - 1.5%,70% Sativa / 30% Indica,1.6 oz/ft² indoors24.7 oz/plant outdoors,63 - 70 days,,Laughs come naturally,Hawaiian Snow x Holy Punch,96.74,96.74,1.6,24.7,63,70,63-70 days,,,Hawaiian Snow x Holy Punch   Show all Show less     Holy Snow Strain Reviews     No reviews yet. Be,70,30,"happy, uplifting",happy,"sweet, fruity, woody",sweet,Holy Snow Ghs,Early October,,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/dozy-whale,AlphaFem Seeds,Feminized,Photoperiod,"Outdoor, Indoor",26%,2%,Sativa dominant,1.6 oz/ft² indoors19.4 - 21.2 oz/plant outdoors,65 - 70 days,59.1 - 78.7 inches indoors59.1 - 78.7 inches outdoors,Mind-warping energy,Dozy Doz x (White Widow IBL x Haze IBL),99.34,99.34,1.6,21.2,65,70,65-70 days,78.7,78.7,Dozy Doz x (White Widow IBL x Haze IBL)   Show all Show less     Dozy Whale Strain Reviews    4.9,,,"happy, euphoric, uplifting, creative",happy,pine,pine,Dozy Whale,,,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/auto-lemon-z,Dutch Passion,Feminized,Autoflowering,"Outdoor, Indoor, Greenhouse",21%,,Sativa dominant,1.6 oz/ft² indoors,,,Deep euphoria without anxiety,Z x Las Vegas Lemon Skunk,99.01,99.01,1.6,,,,,,,Z x Las Vegas Lemon Skunk   Show all Show less     Auto Lemon Kix (Auto Lemon Z) Strain Reviews    4,,,"happy, euphoric, uplifting, energetic",happy,"citrus, fruity",citrus,Auto Lemon Z,,84 days,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/larry-og-herbies-seeds-usa,Herbies Seeds,Feminized,Photoperiod,"Outdoor, Indoor",23%,,Indica dominant,1 - 1.6 oz/ft² indoors10.6 oz/plant outdoors,60 - 63 days,47.2 inches indoors47.2 inches outdoors,Smooth cerebral effect with a fantastic body high,Larry OG (Indica) x OG,98.29,98.29,1.6,10.6,60,63,60-63 days,47.2,47.2,Larry OG (Indica) x OG   Show all Show less     Larry OG Strain Reviews     No reviews yet. Be the f,,,"happy, relaxed",happy,"earthy, citrus, pine, herbal, woody",earthy,Larry Og Herbies Seeds Usa,,,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/cbd-auto-blackberry-kush,Dutch Passion,Feminized,Autoflowering,"Outdoor, Indoor, Greenhouse",< 1%,15%,Indica dominant,1.3 - 1.6 oz/ft² indoors,,,Healthy stance,Auto Blackberry Kush x CBD Plant,99.01,99.01,1.6,,,,,,,Auto Blackberry Kush x CBD Plant   Show all Show less     CBD Auto Blackberry Kush Strain Reviews,,,"relaxed, calming",relaxed,"berry, sweet, fruity",berry,Cbd Auto Blackberry Kush,,91 days,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/hindu-kush-auto-herbies-seeds-usa,Herbies Seeds,Feminized,Autoflowering,"Outdoor, Indoor",25%,,Indica dominant,1.6 oz/ft² indoors2.5 - 3.9 oz/plant outdoors,,47.2 - 59.1 inches indoors47.2 - 59.1 inches outdoors,Soothing head-to-toe high,(Hindu Kush x Star Dawg) x Ruderalis,98.29,98.29,1.6,3.9,60,70,60-70 days,59.1,59.1,(Hindu Kush x Star Dawg) x Ruderalis   Show all Show less     Hindu Kush Auto Strain Reviews    4.9,,,"happy, relaxed, calming",happy,"sweet, earthy, pine, fruity",sweet,Hindu Kush Auto Herbies Seeds Usa,,60 - 70 days,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/lemon-tree-barneys-farm,Barney's Farm,Feminized,Photoperiod,"Outdoor, Indoor",25%,0.90%,45% Sativa / 55% Indica,2 - 2.1 oz/ft² indoors52.9 oz/plant outdoors,65 - 70 days,35.4 - 39.4 inches indoors59.1 - 78.7 inches outdoors,Happy to the brim,Lemon Skunk x Sour Diesel,98.39,98.39,2.1,52.9,65,70,65-70 days,39.4,78.7,Lemon Skunk x Sour Diesel   Show all Show less     Lemon Tree Strain Reviews    5.0   4 reviews,45,55,"happy, relaxed, euphoric",happy,"sweet, citrus, diesel",sweet,Lemon Tree Barneys Farm,October,,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/durban,Sensi Seeds,Feminized,Photoperiod,"Outdoor, Indoor",,,90% Sativa / 10% Indica,,50 - 70 days,98.4 inches outdoors,Spontaneous pleasure,South African,99.2,99.2,,,50,70,50-70 days,,98.4,South African   Show all Show less     Durban Strain Reviews    5.0   2 reviews     Customer photos,90,10,"euphoric, creative, energetic",euphoric,"earthy, fruity",earthy,Durban,,,,
Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/ztrawberry-ghs,Green House Seeds,Feminized,Photoperiod,"Outdoor, Indoor",22.40%,0.20%,40% Sativa / 60% Indica,2.6 oz/ft² indoors42.3 oz/plant outdoors,56 - 63 days,63 - 110.2 inches outdoors,Easy highs ahead,Runtz x A.M.S,96.74,96.74,2.6,42.3,56,63,56-63 days,,110.2,Runtz x A.M.S   Show all Show less     Ztrawberry Strain Reviews     No reviews yet. Be the first to,40,60,"relaxed, uplifting, energetic",relaxed,"berry, sweet, earthy",berry,Ztrawberry Ghs,Late September,,,
