seed_bank,source_url,scraped_at,url_domain,extraction_version,meta_viewport,meta_og_title,meta_og_description,meta_robots,meta_generator,meta_description,meta_msapplication_tileimage,page_title,spec_pack_size,prices_usd,min_price_usd,max_price_usd,avg_price_usd,price_count_usd,package_sizes,min_package_size,max_package_size,thc_content,thc_min,thc_max,cbd_content,effects_all,primary_effect,effect_count,effects_mental,flavors_all,primary_flavor,flavors_citrus,flavors_sweet,strain_images,strain_image_count,total_image_count,has_media_gallery,has_awards,genetics_lineage,is_hybrid,sativa_percentage,indica_percentage,dominant_type,strain_name,extraction_methods_used,method_count,data_completeness_score,market_tier,total_fields_captured,terpenes,dominant_terpene,terpene_count,flavors_diesel,flowering_min,flowering_max,flowering_time,flavors_fruity,flavors_earthy,effects_physical,awards,award_count,award_years,latest_award_year,earliest_award_year,spec_genetics,spec_thc,spec_type,spec_sativa,spec_indica,spec_taste,spec_effect,spec_aroma,spec_height_indoor__cm,spec_indoor_yield__g,spec_height_outdoor__cm,spec_outdoor_yield__g,spec_feminized_outdoor_harvest_month_week,product_images,product_image_count,flavors_spicy,yield_min,yield_max,yield_unit,yield_range,yield_amount,spec_flowering_time__days,thc_range,thc_average,effects_appetite,effects_social,cbd_min,cbd_max,cbd_range,spec_yield,spec_flowering_time,spec_height,spec_trait,spec_flavour_profile,spec_expected_yield,spec_availability,spec_feminised_outdoor_harvest_month_week,spec_format,spec_sativa___indica_ratio,spec_flowering_indoors,spec_flowering_outdoors,spec_resistance_against_spider_mites,spec_resistance_against_powder_mildew,spec_resistance_against_botrytis,spec_resistance_against_white_fly,spec_resistance_against_cold,spec_resistance_against_heat,spec_structure,spec_bouquet,spec_high,spec_growing_tips,spec_harvest,spec_strain_type
North Atlantic Seed Co,https://www.northatlanticseed.com/product/new-zweet-og-r2-f/,2026-01-12T14:54:51.653544,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zweet OG R2 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zweet OG R2 (F) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,Choose an option5 pack10 packClear,"70.0, 110.0, 200.0",70,200,100,11,8,8,8,0,0,0,100,happy,happy,1,happy,"lemon, lime, sweet",lemon,"lemon, lime",sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2022/09/Zweet-OG-R2-cannabis-seeds-by-ethos-genetics1-800x800.webp, https://www.northatlanticseed.com/wp-content/uploads/2019/03/Mandarin-Cookies-v2-cannabis-seeds-by-ethos-genetics1.webp, https://www.northatlanticseed.com/wp-content/uploads/2019/03/planet-of-the-grapes-rbx-by-ethos-genetics1.webp",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zweet OG R2 (F),"['Meta Tags', 'Tables', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,38.5,Basic,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zweet-inzanity-rBX-f/,2026-01-12T14:54:51.827663,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zweet Inzanity Rbx (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zweet Inzanity Rbx (F) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,Choose an option5 pack10 packClear,"70.0, 110.0, 200.0",70,200,100,11,8,8,8,0,0,0,100,happy,happy,1,happy,"citrus, sweet",citrus,citrus,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2022/10/ZWEET-INZANITY-RBX-cannabis-seeds-by-ethos-genetics1.webp, https://www.northatlanticseed.com/wp-content/uploads/2019/03/Mandarin-Cookies-v2-cannabis-seeds-by-ethos-genetics1.webp, https://www.northatlanticseed.com/wp-content/uploads/2019/03/planet-of-the-grapes-rbx-by-ethos-genetics1.webp",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zweet Inzanity Rbx (F),"['Meta Tags', 'Tables', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,42.3,Standard,47,myrcene,myrcene,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zweet-auto/,2026-01-12T14:54:52.037487,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zweet Auto RBx2 online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zweet Auto RBx2 – Buy Cannabis Seeds Online | North Atlantic Seed Co.,Choose an option3 pack6 pack10 pack50 packClear,"40.0, 70.0, 200.0, 210.0, 410.0",40,410,207.27,11,8,8,8,0,0,0,100,"uplifting, energetic, happy",uplifting,3,"uplifting, energetic, happy","lime, citrus, sweet, fuel",lime,"lime, citrus",sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2020/08/Zweet-AUTO-cannabis-seeds-by-ethos-genetics1.webp, https://www.northatlanticseed.com/wp-content/uploads/2020/08/Banana-Daddy-Auto-cannabis-seeds-by-ethos-genetics1.webp, https://www.northatlanticseed.com/wp-content/uploads/2022/04/Autoflower-multipack-1-cannabis-seeds-by-ethos-genetics-copy.webp",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zweet,"['Meta Tags', 'Tables', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,38.5,Basic,45,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zuzu-fruit/,2026-01-12T14:54:52.270080,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zuzu Fruit (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zuzu Fruit (R) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"75.0, 150.0, 200.0",75,200,120.45,11,8,8,8,0,0,0,100,happy,happy,1,happy,sweet,sweet,,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2022/04/Zuzu-Fruit-800x757.png, https://www.northatlanticseed.com/wp-content/uploads/2021/10/Bay-Watch-600x558.png, https://www.northatlanticseed.com/wp-content/uploads/2022/04/Coconut-Cooler-600x561.png",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zuzu Fruit (R),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.5,Basic,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zushi-verde-f-ships-late-september/,2026-01-12T14:54:52.473883,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zushi Verde (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zushi Verde (F) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"89.0, 200.0",89,200,107.5,6,8,8,8,0,0,0,100,happy,happy,1,happy,"orange, citrus, berry, grape, apple, fruity, earthy, pine, sweet",orange,"orange, citrus",sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/09/zushi-verde-cannabis-seeds-by-elev8-seeds-800x800.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/09/grape-zensu-cannabis-seeds-by-elev8-seeds-600x600.png, https://www.northatlanticseed.com/wp-content/uploads/2025/09/gorilla-gohan-cannabis-seeds-by-elev8-seeds-600x600.webp",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zushi Verde (F),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,48.7,Standard,48,,,,,8,9,8-9 weeks,"berry, grape, apple, fruity","earthy, pine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zushi-supreme-blue-zushi-s1-f-ships-late-september/,2026-01-12T14:54:52.666113,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zushi Supreme (Blue Zushi S1) (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zushi Supreme (Blue Zushi S1) (F) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"89.0, 200.0",89,200,107.5,6,8,8,8,0,0,0,100,"creative, happy, body",creative,3,"creative, happy","orange, grape, earthy, sweet",orange,orange,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/09/zushi-supreme-cannabis-seed-by-elev8-seeds-800x800.png, https://www.northatlanticseed.com/wp-content/uploads/2025/09/grape-zensu-cannabis-seeds-by-elev8-seeds-600x600.png, https://www.northatlanticseed.com/wp-content/uploads/2025/09/gorilla-gohan-cannabis-seeds-by-elev8-seeds-600x600.webp",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zushi Supreme (Blue Zushi S1) (F),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,48.7,Standard,49,,,,,8,9,8-9 weeks,grape,earthy,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zushi-kuro-flimited-ships-late-november/,2026-01-12T14:54:52.849752,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zushi Kuro (F) [LIMITED] [SHIPS MID JANUARY] online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zushi Kuro (F) [LIMITED] [SHIPS MID JANUARY] – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"60.0, 100.0, 200.0",60,200,134,10,8,8,8,0,0,0,100,happy,happy,1,happy,"sweet, fuel",sweet,,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2022/12/InHouseLogo.png, https://www.northatlanticseed.com/wp-content/uploads/2022/06/Jelly-Breath-S1-600x489.png, https://www.northatlanticseed.com/wp-content/uploads/2023/01/Bananacane-526x600.jpg",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zushi Kuro (F) [LIMITED] [SHIPS MID JANUARY],"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.5,Basic,43,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zunderdog-r/,2026-01-12T14:54:53.026071,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zunderdog (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zunderdog (R) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"80.0, 200.0",80,200,100,6,8,8,8,0,0,0,100,happy,happy,1,happy,"sweet, fuel",sweet,,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2024/07/Cannarado_Final-Logos-Secondary-Blue-Tagline-800x387.png, https://www.northatlanticseed.com/wp-content/uploads/2024/07/Cannarado_Final-Logos-Secondary-Blue-Tagline-600x291.png, https://www.northatlanticseed.com/wp-content/uploads/2024/07/Cannarado_Final-Logos-Secondary-Blue-Tagline-600x291.png",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zunderdog (R),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.5,Basic,43,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/zundaya-r/,2026-01-12T14:54:53.222141,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Zundaya (R) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Zundaya (R) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"80.0, 200.0",80,200,104,5,8,8,8,0,0,0,100,happy,happy,1,happy,"sweet, fuel",sweet,,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2024/07/Cannarado_Final-Logos-Secondary-Blue-Tagline-800x387.png, https://www.northatlanticseed.com/wp-content/uploads/2024/07/Cannarado_Final-Logos-Secondary-Blue-Tagline-600x291.png, https://www.northatlanticseed.com/wp-content/uploads/2024/07/Cannarado_Final-Logos-Secondary-Blue-Tagline-600x291.png",8,8,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Zundaya (R),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.5,Basic,43,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Atlantic Seed Co,https://www.northatlanticseed.com/product/ztrawberry-f/,2026-01-12T14:54:53.402551,www.northatlanticseed.com,1,"width=device-width, initial-scale=1.0, viewport-fit=cover",Come Grow With Us – North Atlantic Seed Co.,North Atlantic Seed Company is an award-winning online seed bank offering a premium selection from top breeders.,max-image-preview:large,WooCommerce 9.3.2,Buy Ztrawberry (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,https://www.northatlanticseed.com/wp-content/uploads/2025/05/cropped-NASCMount-270x270.jpg,Ztrawberry (F) – Buy Cannabis Seeds Online | North Atlantic Seed Co.,,"32.68, 45.68, 48.68, 55.68, 66.68, 70.68, 200.0",32.68,200,70.21,10,8,8,8,0,0,0,100,happy,happy,1,happy,"earthy, sweet",earthy,,sweet,"https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/02/buy-cannabis-seeds-at-north-atlantic-seed-company-logo.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/06/ztrawberry-cannabis-seeds-by-greenhouse-seed-co.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/06/skywalker-auto-cannabis-seeds-by-greenhouse-seed-co.webp, https://www.northatlanticseed.com/wp-content/uploads/2025/06/gelato-41-x-gelato-41-cannabis-seeds-by-greenhouse-seed-co.webp",9,9,TRUE,FALSE,Cipher Genetics,FALSE,100,100,Balanced Hybrid,Ztrawberry (F),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,38.5,Basic,43,,,,,,,,,earthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
