seed_bank,source_url,extraction_methods_used,scraped_at,about_info,resin_pattern,strain_name,growth_type,seed_type,us_genetics,data_completeness_score,quality_tier,effects_pattern,aroma_pattern
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/green-wolfe-seed-co-urkleberry-kush-12-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:55.261365,Green Wolfe Seed Co. - Urkleberry Kush (12 reg seeds) Genetics: Purple Urkle x a worked (2012) F3 of Dynasty’s Huckleberry Kush.,resin production,Green Wolfe Seed Co.,Autoflower,Feminized,TRUE,33.6,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/night-owl-seeds-space-station-gold-3-auto-fem-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:55.537360,Night Owl Seeds - Space Station Gold (3 auto fem seeds) Genetics: Cosmic Queen F4S1 x Vanilla Fizz F1,resin coverage with incredibly loud terps that are unique to this cultivar,Night Owl,Autoflower,Feminized,TRUE,33.6,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/satori-seeds-lalita-auto-12-reg-auto-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:55.734170,Satori Seeds - Lalitā Auto (12 reg auto seeds) - Genetics: Mexican x Siberian Ruderalis x OG Kush,"resin production, and vigor",Satori,Autoflower,Feminized,TRUE,43.5,Medium,"uplifting, and centered; creative work, movement, or simply enjoying life without the weight","aroma leans sweet, floral, and fruity, with hints of earthiness and a touch of astringency"
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/off-grid-seeds-aruba-16-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:55.965976,Off-Grid Seeds - Aruba (16 reg seeds) Genetics: Aruba line originally collected via Bodhi,,Off-Grid,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/northern-leaf-seeds-hoochie-seeds-f1-12-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:56.188023,Northern Leaf Seeds - Hoochie Seeds F1 (12 reg seeds) Lineage: (GG#4 x Cheese) x MILF,,Northern Leaf,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/matchmaker-genetics-rasta-sheesh-6-fem-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:56.377208,Matchmaker Genetics - Rasta Sheesh (6 fem seeds) Genetics: Rasta Government x Sheesh(r),,Matchmaker Genetics,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/sunny-valley-seed-co-kc36-haze-50-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:56.573546,Sunny Valley Seed Co - KC36 Haze. Genetics: Ze Chem x EQ Haze x KC36. Seeds per pack: 50. Sex: Regular,,Sunny Valley Seed Co,Autoflower,Feminized,TRUE,34.4,Basic,,aroma with a hint of earthy sweetness
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/subcool-seeds-chernobyl-f2-5-fem-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:56.858445,Subcool Seeds - Chernobyl F2 (5 fem. seeds) Genetics: Chernobyl x Slymer (Reversed),"resin production and dank, earthy lime and pine-sol aromas; resin production and unmistakable Pine-Sol funk",Great Lakes Genetics,Autoflower,Feminized,TRUE,38.9,Basic,"euphoric, and energizing — a true head rush with a smooth body lift",
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/forests-fires-bless-the-rains-5-reg-auto-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:57.104452,Forest's Fires - Bless The Rains (5 reg auto seeds) Genetics: Durban Sunrise (20/20) x Purple Bible Paper (Forests Fires),Resin production is extremely impressive and incredibly sticky,Forest's Fires,Autoflower,Feminized,TRUE,43.5,Medium,Euphoric and creative onset with a nice transition to deep stoned,Nose is a very spicy old school hash / lemons / with a fuel back end
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/jaws-genetics-exodus-cheese-bc1-f2-12-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:57.314452,Jaws Genetics - Exodus Cheese BC1/F2 (12 reg seeds) Genetics: Exodus Cheese BC1 x Exodus Cheese BC1,,Jaws Genetics,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/strayfox-gardenz-chocolate-kitty-12-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:57.510454,Strayfox Gardenz - Chocolate Kitty (12 reg seeds) Genetics: Duke's Polecat x Drawoh's Chocolate Thai,,Strayfox Gardenz,Autoflower,Feminized,TRUE,35.1,Basic,uplifting conversation,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/tonygreens-tortured-beans-GG4-ril-fast-auto-x-ol-chem-haze-10-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:57.748999,Tonygreen's Tortured Beans - GG4 RIL Fast Auto x Ol' Chem Haze (10+ auto seeds) Genetics: GG4 RIL Fast Auto x Ol' Chem Haze,,Tonygreen's Tortured Beans,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/bodhi-seeds-eureka-lemon-g-x-lavender-lemonaid-11-reg-seeds/,"['patterns', 'fallback']",2026-01-10T22:29:58.024993,Bodhi Seeds - Eureka (Lemon G x Lavender Lemonaid) (11 reg. seeds),,Bodhi,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/backyard-boogie-lavender-boogie-11-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:58.226992,Backyard Boogie - Lavender Boogie (11 reg seeds) Genetics: Line worked Lemon Wookie V1 from Bodhi,,Backyard Boogie,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/anthos-seeds-lemon-charas-12-reg-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:58.456999,Anthos Seeds - Lemon Charas. Genetics: Chamoli (Indian Landrace) x Niben f5. Seeds in pack: 12. Sex: Regular,,Anthos,Autoflower,Feminized,TRUE,29.8,Basic,,
Great Lakes Genetics,https://www.greatlakesgenetics.com/product/twenty20-5-alarm-6-fem-seeds/,"['description', 'patterns', 'fallback']",2026-01-10T22:29:58.666992,Twenty20 - 5 Alarm (6 fem seeds) Genetics: SFnG #19 F2 x Snow-G #10 F3,,Twenty20,Autoflower,Feminized,TRUE,29.8,Basic,,
